2019-03-20 16:17:57,755 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 16:17:57,756 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ramandeep.singh.nagi\git\MyProjects\MyProjects\src\test\resources
2019-03-20 16:18:23,525 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 16:18:23,622 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2019-03-20 16:18:24,009 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 16:18:24,012 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ramandeep.singh.nagi\git\MyProjects\MyProjects\src\test\resources
2019-03-20 16:18:30,661 [Worker-24] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-03-20 16:18:32,093 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.my.tasks:Ramandeep2008Singh:0.0.1-SNAPSHOT @ C:\Users\ramandeep.singh.nagi\git\MyProjects\MyProjects\pom.xml.
2019-03-20 16:18:33,081 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2019-03-20 16:18:34,479 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Ramandeep2008Singh/src/main/java
2019-03-20 16:18:34,480 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Ramandeep2008Singh/src/main/resources
2019-03-20 16:18:34,481 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Ramandeep2008Singh/src/test/java
2019-03-20 16:18:35,144 [Worker-24] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2019-03-20 16:18:37,542 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2019-03-20 16:18:37,908 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 16:18:37,911 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2019-03-20 16:18:38,255 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 16:18:38,256 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ramandeep.singh.nagi\git\MyProjects\MyProjects\src\test\resources
2019-03-20 16:18:52,382 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 16:18:52,391 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-20 16:18:52,393 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 16:18:52,396 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ramandeep.singh.nagi\git\MyProjects\MyProjects\src\test\resources
2019-03-20 16:19:02,881 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
